crf,preset,res,bitrate,vmaf,time
18,4,480,591,97.392747,95.777
18,4,720,1105,97.341658,167.224
18,5,480,607,97.370370,89.072
18,5,720,1135,97.324156,162.780
18,6,480,628,97.342881,81.215
18,6,720,1193,97.196843,103.230
18,7,480,654,97.116703,49.984
18,7,720,1328,97.053579,81.901
18,8,480,666,97.043413,44.985
18,8,720,1181,96.800532,70.545
18,9,480,738,96.862239,37.240
18,9,720,1135,96.454935,56.369
18,10,480,749,96.751001,34.927
18,10,720,1063,96.085897,52.958
50,4,480,96,94.551925,114.713
50,4,720,156,94.134295,189.224
50,5,480,96,94.399978,84.358
50,5,720,155,93.981804,142.764
50,6,480,93,94.137649,69.078
50,6,720,151,93.701473,111.319
50,7,480,94,93.505707,53.266
50,7,720,152,92.912513,90.089
50,8,480,106,93.472032,44.237
50,8,720,169,92.711136,71.148
50,9,480,98,92.267251,39.113
50,9,720,139,90.745185,52.851
50,10,480,99,92.152825,36.331
50,10,720,138,90.088093,53.325
23,4,480,436,97.193374,97.777
23,4,720,807,97.092913,173.883
23,5,480,443,97.144662,73.873
23,5,720,821,97.054478,132.688
23,6,480,459,97.119018,63.636
23,6,720,846,96.924575,103.765
23,7,480,470,96.884926,54.527
23,7,720,928,96.721004,85.578
23,8,480,502,96.817615,45.070
23,8,720,879,96.488054,70.687
23,9,480,547,96.586791,37.793
23,9,720,841,96.063269,56.420
23,10,480,556,96.452616,35.345
23,10,720,792,95.616765,53.065
28,4,480,305,96.886560,103.294
28,4,720,548,96.699666,179.948
28,5,480,305,96.812901,74.672
28,5,720,552,96.627636,132.376
28,6,480,313,96.778483,64.563
28,6,720,564,96.495568,106.631
28,7,480,323,96.512093,51.000
28,7,720,603,96.216503,82.914
28,8,480,354,96.449160,44.408
28,8,720,614,96.004367,66.679
28,9,480,381,96.149414,32.618
28,9,720,589,95.487009,49.494
28,10,480,389,95.996900,31.050
28,10,720,560,94.961405,45.960
35,4,480,198,96.344939,101.585
35,4,720,339,96.034364,172.981
35,5,480,196,96.218233,72.965
35,5,720,334,95.901866,126.933
35,6,480,196,96.147381,61.639
35,6,720,335,95.764944,100.568
35,7,480,202,95.815332,50.598
35,7,720,350,95.361216,83.016
35,8,480,226,95.741518,41.621
35,8,720,382,95.160725,65.393
35,9,480,231,95.317275,33.082
35,9,720,348,94.378275,50.372
35,10,480,236,95.164885,31.026
35,10,720,339,93.800926,47.526
38,4,480,168,96.042068,101.057
38,4,720,286,95.728896,174.431
38,5,480,166,95.902996,75.030
38,5,720,281,95.567902,127.480
38,6,480,165,95.803826,62.734
38,6,720,279,95.408671,103.652
38,7,480,170,95.436455,51.592
38,7,720,289,94.948945,83.857
38,8,480,191,95.352054,43.022
38,8,720,319,94.746918,67.382
38,9,480,190,94.801596,33.805
38,9,720,283,93.782802,51.744
38,10,480,193,94.665798,32.277
38,10,720,277,93.190918,48.587
42,4,480,137,95.603993,106.273
42,4,720,227,95.265184,180.064
42,5,480,136,95.458350,76.662
42,5,720,225,95.097969,132.022
42,6,480,133,95.292828,64.295
42,6,720,221,94.904156,105.427
42,7,480,137,94.871147,52.088
42,7,720,228,94.332716,85.765
42,8,480,155,94.836681,44.372
42,8,720,253,94.170926,70.166
42,9,480,150,94.128556,34.872
42,9,720,218,92.968688,51.784
42,10,480,153,94.015828,32.838
42,10,720,215,92.336683,48.589
25,4,480,375,97.079378,98.456
25,4,720,687,96.939883,174.307
25,5,480,379,97.019781,75.313
25,5,720,697,96.892720,132.665
25,6,480,392,96.989605,64.709
25,6,720,717,96.759831,101.243
25,7,480,400,96.750373,55.259
25,7,720,778,96.529751,83.933
