crf,preset,res,bitrate,vmaf,time
18,4,480,1947,99.715148,137.523
18,4,720,3196,99.742088,187.855
18,5,480,2036,99.700998,91.949
18,5,720,3335,99.729544,143.811
18,6,480,2228,99.706660,72.395
18,6,720,3842,99.723493,105.049
18,7,480,2286,99.667961,60.341
18,7,720,4078,99.690538,82.688
18,8,480,2399,99.655586,52.633
18,8,720,4083,99.638650,70.601
18,9,480,2700,99.424750,44.161
18,9,720,3939,99.371145,57.326
18,10,480,2826,99.203596,40.775
18,10,720,4029,99.096181,52.358
50,4,480,334,91.812311,137.967
50,4,720,525,91.932529,215.987
50,5,480,337,91.205913,98.285
50,5,720,529,91.312493,150.260
50,6,480,341,90.696121,78.640
50,6,720,538,90.803564,117.320
50,7,480,346,89.992205,61.873
50,7,720,546,89.805817,88.818
50,8,480,368,89.790928,53.953
50,8,720,583,89.428038,71.432
50,9,480,364,87.032346,46.235
50,9,720,505,84.811440,57.193
50,10,480,368,85.786028,45.332
50,10,720,499,82.989296,52.266
23,4,480,1547,99.582344,119.445
23,4,720,2511,99.621730,192.582
23,5,480,1597,99.560360,92.703
23,5,720,2592,99.598936,138.141
23,6,480,1744,99.569010,74.233
23,6,720,2919,99.592582,106.902
23,7,480,1774,99.523736,64.553
23,7,720,3097,99.529019,88.993
23,8,480,1893,99.501400,55.539
23,8,720,3161,99.449452,73.244
23,9,480,2115,99.164518,47.108
23,9,720,3089,99.069137,59.405
23,10,480,2229,98.890278,44.267
23,10,720,3151,98.642765,54.973
28,4,480,1145,99.264921,122.179
28,4,720,1842,99.318894,190.831
28,5,480,1178,99.208866,94.709
28,5,720,1903,99.260916,144.701
28,6,480,1277,99.221496,74.511
28,6,720,2106,99.251038,107.427
28,7,480,1307,99.145749,69.097
28,7,720,2210,99.124335,86.983
28,8,480,1387,99.110558,55.048
28,8,720,2278,98.993398,70.521
28,9,480,1543,98.517737,45.311
28,9,720,2284,98.360908,57.368
28,10,480,1630,98.106424,42.461
28,10,720,2331,97.720120,53.375
35,4,480,765,98.214323,120.165
35,4,720,1214,98.317702,191.535
35,5,480,782,98.019738,88.117
35,5,720,1247,98.127280,135.038
35,6,480,828,98.010018,71.857
35,6,720,1339,98.065008,102.618
35,7,480,844,97.854683,63.761
35,7,720,1380,97.803615,87.414
35,8,480,891,97.743214,54.893
35,8,720,1447,97.575427,71.466
35,9,480,961,96.701720,45.605
35,9,720,1407,96.133626,56.690
35,10,480,1007,96.060558,43.433
35,10,720,1438,95.221088,52.764
38,4,480,643,97.426140,120.341
38,4,720,1023,97.563939,189.291
38,5,480,657,97.143712,86.794
38,5,720,1046,97.291289,131.132
38,6,480,688,97.102403,71.882
38,6,720,1110,97.168077,102.710
38,7,480,701,96.881121,62.617
38,7,720,1139,96.855254,86.381
38,8,480,740,96.715452,54.863
38,8,720,1198,96.537981,71.098
38,9,480,779,95.298505,45.191
38,9,720,1141,94.539112,56.223
38,10,480,806,94.563591,43.027
38,10,720,1157,93.470979,52.656
42,4,480,512,96.004300,126.766
42,4,720,808,96.176383,194.290
42,5,480,523,95.605140,85.323
42,5,720,827,95.752306,132.615
42,6,480,541,95.487048,78.342
42,6,720,863,95.583628,108.726
42,7,480,550,95.154435,63.827
42,7,720,885,95.115855,89.480
42,8,480,579,95.061150,57.334
42,8,720,933,94.893156,74.526
42,9,480,597,93.045172,46.744
42,9,720,864,91.944536,57.736
42,10,480,616,92.117284,44.091
42,10,720,872,90.612840,54.817
25,4,480,1370,99.481907,126.301
25,4,720,2217,99.526508,195.245
