crf,preset,res,bitrate,vmaf,time
18,4,480,4437,95.330487,252.955
18,4,720,12762,95.248166,486.672
18,5,480,4572,95.300792,208.163
18,5,720,12852,95.232452,362.062
18,6,480,5248,95.388694,185.897
18,6,720,15147,95.187437,269.100
18,7,480,5238,95.155720,147.526
18,7,720,15638,95.066830,193.520
18,8,480,5586,95.182112,124.512
18,8,720,13882,94.680293,163.318
18,9,480,5687,94.682089,105.610
18,9,720,12863,94.242139,138.364
18,10,480,5068,94.359137,100.387
18,10,720,11399,93.586123,131.075
50,4,480,488,86.630799,263.912
50,4,720,955,85.138356,429.512
50,5,480,492,86.304951,187.392
50,5,720,960,84.808009,299.401
50,6,480,454,85.457330,155.280
50,6,720,889,83.886520,228.948
50,7,480,458,84.699902,138.081
50,7,720,899,83.087109,190.499
50,8,480,484,84.372146,120.575
50,8,720,960,82.504970,158.889
50,9,480,473,82.711560,114.779
50,9,720,790,79.177456,140.010
50,10,480,488,82.456744,106.914
50,10,720,806,78.607954,133.067
23,4,480,3230,94.674156,230.151
23,4,720,8540,94.378523,421.889
23,5,480,3305,94.615467,181.242
23,5,720,8653,94.357547,307.364
23,6,480,3608,94.644098,162.642
23,6,720,10078,94.323806,243.448
23,7,480,3627,94.402821,149.139
23,7,720,10328,94.132970,207.572
23,8,480,3910,94.386952,135.355
23,8,720,9827,93.712473,178.373
23,9,480,4103,93.875906,121.915
23,9,720,9023,93.157399,153.083
23,10,480,3875,93.536624,116.028
23,10,720,8153,92.462348,144.606
28,4,480,2213,93.754052,231.950
28,4,720,5215,93.043221,401.727
28,5,480,2259,93.633967,173.905
28,5,720,5321,92.957745,282.143
28,6,480,2378,93.603260,150.379
28,6,720,5960,92.921625,223.260
28,7,480,2400,93.339951,136.151
28,7,720,6064,92.627589,190.369
28,8,480,2580,93.260790,120.549
28,8,720,6105,92.209330,161.869
28,9,480,2787,92.727448,109.232
28,9,720,5936,91.617364,135.775
28,10,480,2768,92.438668,101.182
28,10,720,5635,90.897974,129.924
35,4,480,1365,92.226297,229.422
35,4,720,2955,91.022605,377.555
35,5,480,1385,91.994623,172.618
35,5,720,3001,90.824572,266.615
35,6,480,1377,91.776288,151.724
35,6,720,3131,90.630539,215.332
35,7,480,1392,91.421214,133.339
35,7,720,3171,90.207236,183.243
35,8,480,1496,91.261671,128.790
35,8,720,3343,89.734639,158.972
35,9,480,1605,90.599984,109.609
35,9,720,3132,88.694834,137.442
35,10,480,1642,90.375547,105.419
35,10,720,3175,88.030911,130.919
38,4,480,1112,91.372271,230.013
38,4,720,2354,90.077032,391.744
38,5,480,1127,91.140670,178.333
38,5,720,2389,89.846852,269.744
38,6,480,1099,90.803556,151.333
38,6,720,2427,89.508622,218.248
38,7,480,1111,90.394518,136.304
38,7,720,2455,89.053687,197.964
38,8,480,1191,90.193956,122.129
38,8,720,2609,88.548329,163.960
38,9,480,1246,89.392282,107.098
38,9,720,2399,87.177500,135.608
38,10,480,1287,89.199926,105.396
38,10,720,2465,86.597765,122.684
42,4,480,842,90.048096,228.683
42,4,720,1732,88.657618,385.873
42,5,480,856,89.799259,172.816
42,5,720,1761,88.369354,285.624
42,6,480,816,89.302239,151.790
42,6,720,1725,87.903674,220.476
42,7,480,826,88.784935,132.087
42,7,720,1758,87.331066,180.245
42,8,480,878,88.636215,114.158
42,8,720,1879,86.897432,148.569
42,9,480,901,87.484417,112.516
42,9,720,1664,84.917557,137.283
42,10,480,940,87.380709,99.761
42,10,720,1728,84.342445,128.145
25,4,480,2767,94.318115,239.997
25,4,720,6952,93.865007,425.610
25,5,480,2833,94.236319,181.653
25,5,720,7072,93.825803,327.876
25,6,480,3036,94.227312,162.440
25,6,720,8101,93.783903,239.449
25,7,480,3055,93.969332,138.278
25,7,720,8294,93.559639,215.621
25,8,480,3291,93.946634,121.606
25,8,720,8151,93.154653,164.896
25,9,480,3517,93.419170,111.152
25,9,720,7743,92.642038,138.248
25,10,480,3403,93.127721,98.629
25,10,720,7143,91.924552,121.158
32,4,480,1671,92.947356,229.347
32,4,720,3729,91.927810,407.503
32,5,480,1697,92.750022,187.366
32,5,720,3792,91.787267,284.713
32,6,480,1730,92.619652,171.514
32,6,720,4075,91.645946,238.364
32,7,480,1748,92.307949,141.738
32,7,720,4136,91.285302,184.008
32,8,480,1882,92.199594,119.457
32,8,720,4306,90.832080,160.941
32,9,480,1994,91.566687,106.739
32,9,720,4044,89.986028,134.266
32,10,480,2019,91.299577,96.131
32,10,720,4006,89.276904,125.218
36,4,480,1272,91.948050,236.992
