crf,preset,res,bitrate,vmaf,time
18,4,480,1839,99.939568,5.087
18,4,720,2446,99.945465,8.206
18,5,480,1913,99.940066,4.116
18,5,720,2568,99.942992,6.390
18,6,480,2079,99.938863,3.516
18,6,720,2880,99.939811,5.200
18,7,480,2095,99.933325,3.156
18,7,720,3090,99.937138,4.650
18,8,480,2162,99.924585,2.663
18,8,720,3113,99.922235,3.855
18,9,480,2355,99.924493,2.061
18,9,720,3062,99.918762,2.908
18,10,480,2381,99.925742,1.784
18,10,720,3078,99.914412,2.612
50,4,480,336,96.439414,6.966
50,4,720,487,96.868853,12.718
50,5,480,343,96.259149,5.515
50,5,720,496,96.596699,8.923
50,6,480,356,96.165070,4.325
50,6,720,516,96.392364,6.675
50,7,480,363,95.637552,3.468
50,7,720,524,95.373858,5.190
50,8,480,374,95.039849,2.792
50,8,720,546,94.260018,3.849
50,9,480,391,93.425629,2.022
50,9,720,524,92.103444,3.020
50,10,480,398,92.271107,1.853
50,10,720,521,90.293886,2.591
23,4,480,1472,99.927160,5.631
23,4,720,1957,99.929139,9.617
23,5,480,1526,99.925970,4.139
23,5,720,2046,99.927810,6.683
23,6,480,1652,99.925270,3.467
23,6,720,2233,99.925932,5.387
23,7,480,1680,99.913598,3.058
23,7,720,2437,99.920628,4.371
23,8,480,1745,99.914214,2.528
23,8,720,2455,99.904124,3.699
23,9,480,1872,99.906008,1.927
23,9,720,2452,99.901240,2.925
23,10,480,1893,99.906832,1.852
23,10,720,2462,99.874043,2.593
28,4,480,1111,99.905051,6.061
28,4,720,1482,99.905518,10.145
28,5,480,1147,99.896578,4.539
28,5,720,1552,99.900893,7.059
28,6,480,1238,99.893261,3.495
28,6,720,1693,99.898324,5.653
28,7,480,1267,99.893919,3.344
28,7,720,1811,99.876433,4.697
28,8,480,1313,99.884369,2.737
28,8,720,1829,99.850861,3.721
28,9,480,1408,99.850996,1.926
28,9,720,1852,99.840592,2.881
28,10,480,1429,99.848531,1.807
28,10,720,1883,99.761761,2.598
35,4,480,752,99.799119,6.126
35,4,720,1032,99.818127,10.332
35,5,480,773,99.778924,4.074
35,5,720,1065,99.800356,7.113
35,6,480,825,99.769533,3.478
35,6,720,1146,99.777742,6.010
35,7,480,847,99.758374,3.393
35,7,720,1207,99.727237,4.935
35,8,480,877,99.740164,2.832
35,8,720,1230,99.674639,3.964
35,9,480,931,99.620291,2.055
35,9,720,1224,99.552781,2.810
35,10,480,955,99.550502,1.775
35,10,720,1241,99.328472,2.633
38,4,480,638,99.683202,6.581
38,4,720,886,99.724320,10.778
38,5,480,655,99.639828,4.431
38,5,720,912,99.696364,7.364
38,6,480,694,99.634840,3.440
38,6,720,973,99.655524,5.555
38,7,480,714,99.606052,3.020
38,7,720,1021,99.580543,4.797
38,8,480,738,99.542953,2.362
38,8,720,1042,99.447400,3.969
38,9,480,778,99.295226,2.041
38,9,720,1034,99.193738,2.880
38,10,480,795,99.143707,1.687
38,10,720,1039,98.715607,2.471
42,4,480,513,99.320417,6.269
42,4,720,721,99.416675,11.074
42,5,480,528,99.232008,3.954
42,5,720,742,99.337373,7.158
42,6,480,556,99.176567,3.461
42,6,720,786,99.246479,5.602
42,7,480,569,99.116478,3.132
42,7,720,819,99.021025,4.415
42,8,480,582,99.027125,2.571
42,8,720,837,98.803940,3.619
42,9,480,615,98.286160,1.895
42,9,720,825,98.058542,2.564
42,10,480,631,97.919467,1.634
42,10,720,827,97.185654,2.313
25,4,480,1313,99.919630,6.068
25,4,720,1748,99.921745,9.434
25,5,480,1359,99.916217,4.220
25,5,720,1830,99.918173,6.416
25,6,480,1472,99.913602,3.331
25,6,720,2000,99.916171,5.416
25,7,480,1499,99.908555,3.163
25,7,720,2167,99.908760,4.601
25,8,480,1556,99.904603,2.657
25,8,720,2181,99.889332,3.696
25,9,480,1684,99.892577,1.915
25,9,720,2189,99.887683,2.708
25,10,480,1719,99.891349,1.682
25,10,720,2215,99.839414,2.646
32,4,480,889,99.855896,6.271
32,4,720,1202,99.866152,10.329
32,5,480,914,99.849331,4.330
32,5,720,1248,99.852106,6.885
32,6,480,979,99.840395,3.543
32,6,720,1351,99.842388,5.484
32,7,480,1006,99.836687,3.118
32,7,720,1435,99.808325,4.304
32,8,480,1044,99.825499,2.643
32,8,720,1453,99.774004,3.525
32,9,480,1098,99.760278,1.879
32,9,720,1456,99.727831,2.633
32,10,480,1122,99.718613,1.750
32,10,720,1490,99.588839,2.535
36,4,480,709,99.769168,6.243
36,4,720,977,99.797120,10.270
36,5,480,729,99.744160,4.121
36,5,720,1008,99.771524,7.470
36,6,480,775,99.737327,3.720
36,6,720,1083,99.745947,5.933
36,7,480,797,99.722181,3.237
36,7,720,1138,99.686615,4.654
36,8,480,825,99.686285,2.572
36,8,720,1163,99.617101,3.859
36,9,480,870,99.516931,1.904
36,9,720,1156,99.465967,2.575
36,10,480,894,99.423919,1.657
36,10,720,1175,99.193789,2.470
40,4,480,570,99.544726,7.163
40,4,720,799,99.628387,11.965
40,5,480,587,99.493260,4.535
40,5,720,823,99.574311,7.535
40,6,480,621,99.462671,3.413
40,6,720,875,99.508563,5.614
40,7,480,637,99.424366,3.069
40,7,720,916,99.388993,4.583
40,8,480,649,99.377238,2.618
40,8,720,932,99.242868,3.664
40,9,480,695,98.944719,1.935
40,9,720,920,98.758065,2.802
40,10,480,713,98.690478,1.749
40,10,720,927,98.070241,2.481
19,4,480,1747,99.939032,5.427
19,4,720,2318,99.941979,9.517
19,5,480,1794,99.937349,4.945
19,5,720,2388,99.942148,7.665
19,6,480,1944,99.936774,4.063
19,6,720,2638,99.937975,5.822
19,7,480,1995,99.930262,3.449
19,7,720,2933,99.935501,5.122
19,8,480,2065,99.925548,2.809
19,8,720,2957,99.917638,3.604
19,9,480,2263,99.920742,2.069
19,9,720,2938,99.916251,3.090
19,10,480,2294,99.923158,1.706
19,10,720,2959,99.908253,2.434
20,4,480,1666,99.937496,5.828
20,4,720,2209,99.938915,9.889
20,5,480,1711,99.933312,4.761
20,5,720,2283,99.937544,7.016
20,6,480,1846,99.933221,3.576
20,6,720,2510,99.933452,5.677
20,7,480,1892,99.926114,3.377
20,7,720,2779,99.932571,4.556
20,8,480,1961,99.922111,2.643
20,8,720,2802,99.915199,3.754
