crf,preset,res,bitrate,vmaf,time
18,4,480,3630,97.742368,143.925
18,4,720,7258,97.883854,288.639
18,5,480,3819,97.755699,131.449
18,5,720,7651,97.897942,215.189
18,6,480,4079,97.715092,104.496
18,6,720,8502,97.814327,157.659
18,7,480,4109,97.654449,101.205
18,7,720,8814,97.729878,136.677
18,8,480,4282,97.656084,71.956
18,8,720,8510,97.582513,98.787
18,9,480,4693,97.357648,56.106
18,9,720,8054,97.283656,82.199
18,10,480,4585,97.072213,46.706
18,10,720,7811,96.889029,76.280
50,4,480,534,89.445283,251.262
50,4,720,957,89.592653,406.142
50,5,480,544,89.185011,115.057
50,5,720,976,89.342207,198.138
50,6,480,523,88.412346,82.933
50,6,720,951,88.520770,132.616
50,7,480,532,88.100252,62.795
50,7,720,976,87.951614,98.795
50,8,480,566,88.099688,50.906
50,8,720,1053,87.865861,73.480
50,9,480,574,85.608443,36.408
50,9,720,872,83.292166,53.262
50,10,480,589,85.118904,31.925
50,10,720,885,82.508261,44.812
23,4,480,2828,97.374023,127.577
23,4,720,5685,97.551888,206.915
23,5,480,2927,97.390982,96.680
23,5,720,5897,97.566883,158.890
23,6,480,3135,97.345869,77.382
23,6,720,6519,97.473678,112.000
23,7,480,3167,97.286841,68.153
23,7,720,6755,97.359506,96.484
23,8,480,3325,97.287323,55.093
23,8,720,6625,97.186174,78.127
23,9,480,3689,96.901580,40.395
23,9,720,6319,96.784994,60.502
23,10,480,3655,96.596495,34.977
23,10,720,6164,96.312820,54.239
28,4,480,2017,96.668822,144.451
28,4,720,4053,96.896288,228.074
28,5,480,2082,96.663267,103.225
28,5,720,4203,96.915067,165.107
28,6,480,2218,96.628908,79.307
28,6,720,4601,96.802754,113.396
28,7,480,2252,96.562724,67.303
28,7,720,4730,96.657005,97.276
28,8,480,2372,96.548864,55.000
28,8,720,4738,96.442146,76.904
28,9,480,2676,96.057725,38.533
28,9,720,4635,95.881278,63.448
28,10,480,2686,95.707367,34.803
28,10,720,4566,95.299498,49.344
35,4,480,1281,95.121859,142.696
35,4,720,2511,95.340659,234.398
35,5,480,1312,95.055517,100.989
35,5,720,2588,95.296160,160.767
35,6,480,1356,94.958934,78.460
35,6,720,2752,95.144630,114.610
35,7,480,1381,94.852354,68.025
35,7,720,2826,94.947698,97.011
35,8,480,1462,94.813640,52.649
35,8,720,2936,94.724249,75.174
35,9,480,1637,94.119065,39.565
35,9,720,2759,93.551253,59.035
35,10,480,1670,93.729750,35.585
35,10,720,2773,92.862538,52.763
38,4,480,1063,94.232274,142.667
38,4,720,2047,94.437649,234.259
38,5,480,1087,94.138406,97.520
38,5,720,2105,94.348198,161.535
38,6,480,1109,93.966870,79.417
38,6,720,2206,94.119781,116.990
38,7,480,1129,93.844345,65.969
38,7,720,2263,93.884922,96.786
38,8,480,1197,93.775737,51.800
38,8,720,2377,93.672761,75.344
38,9,480,1307,92.821419,38.773
38,9,720,2188,92.069485,57.024
38,10,480,1331,92.445621,33.718
38,10,720,2208,91.392143,50.078
42,4,480,834,92.878708,154.407
42,4,720,1560,93.024138,265.463
42,5,480,856,92.741425,99.674
42,5,720,1607,92.885320,169.140
42,6,480,855,92.424709,80.657
42,6,720,1640,92.533865,123.627
42,7,480,871,92.247596,63.724
42,7,720,1693,92.215495,94.937
42,8,480,916,92.248372,51.563
42,8,720,1798,92.133714,74.390
42,9,480,987,90.797913,36.569
42,9,720,1604,89.644432,53.746
42,10,480,1010,90.443120,32.154
42,10,720,1633,89.011126,48.280
25,4,480,2471,97.125283,132.405
25,4,720,4969,97.325244,211.198
25,5,480,2551,97.144538,100.723
25,5,720,5157,97.347390,157.039
25,6,480,2733,97.089209,75.704
25,6,720,5697,97.235253,111.856
25,7,480,2767,97.029123,65.921
25,7,720,5881,97.113606,95.350
25,8,480,2905,97.030853,53.810
25,8,720,5806,96.924534,76.134
25,9,480,3256,96.592550,40.461
25,9,720,5639,96.485806,61.931
25,10,480,3252,96.281529,36.173
25,10,720,5526,95.971502,55.008
32,4,480,1553,95.855839,146.511
32,4,720,3092,96.102790,229.666
32,5,480,1593,95.812311,102.468
32,5,720,3190,96.086951,160.426
32,6,480,1675,95.758251,79.837
32,6,720,3441,95.971005,114.867
32,7,480,1705,95.674556,67.793
32,7,720,3533,95.798374,96.739
32,8,480,1802,95.662500,53.413
32,8,720,3617,95.579220,75.807
32,9,480,2000,95.029598,39.621
32,9,720,3440,94.669300,58.055
32,10,480,2023,94.647181,34.623
32,10,720,3425,93.993839,52.305
36,4,480,1200,94.833129,144.420
36,4,720,2338,95.044533,232.939
36,5,480,1228,94.754539,100.523
36,5,720,2408,94.982633,162.992
36,6,480,1265,94.626910,76.720
36,6,720,2546,94.809828,115.918
36,7,480,1289,94.512948,64.735
36,7,720,2614,94.591053,94.777
36,8,480,1365,94.468324,49.614
36,8,720,2727,94.374582,71.903
36,9,480,1503,93.642882,37.093
36,9,720,2553,93.091152,56.093
36,10,480,1531,93.254979,32.951
36,10,720,2570,92.397716,49.990
40,4,480,939,93.591204,158.646
40,4,720,1780,93.777293,270.339
40,5,480,964,93.483904,99.657
40,5,720,1837,93.659735,167.127
40,6,480,972,93.239743,79.879
40,6,720,1894,93.393484,122.841
40,7,480,991,93.091842,66.635
40,7,720,1959,93.104790,97.489
40,8,480,1039,93.087249,54.381
40,8,720,2067,93.014853,75.729
40,9,480,1149,91.922710,36.725
40,9,720,1877,90.971453,56.490
40,10,480,1172,91.573762,34.504
40,10,720,1903,90.303262,50.662
19,4,480,3425,97.668659,135.131
19,4,720,6856,97.819439,217.083
19,5,480,3584,97.683681,98.195
19,5,720,7178,97.833792,158.769
19,6,480,3837,97.648210,78.781
19,6,720,7979,97.752199,114.409
19,7,480,3885,97.587076,66.726
19,7,720,8335,97.662051,94.448
19,8,480,4056,97.590678,54.041
19,8,720,8091,97.513461,76.817
19,9,480,4475,97.266527,38.604
19,9,720,7653,97.189937,56.490
19,10,480,4398,96.972362,33.497
19,10,720,7434,96.779433,48.250
20,4,480,3244,97.591567,130.932
20,4,720,6500,97.748815,215.713
20,5,480,3393,97.609854,96.515
20,5,720,6803,97.765944,152.148
20,6,480,3595,97.559929,75.612
20,6,720,7504,97.673333,107.279
20,7,480,3644,97.500409,64.324
20,7,720,7828,97.568626,87.935
20,8,480,3815,97.506148,52.297
20,8,720,7611,97.414690,67.704
20,9,480,4232,97.159121,37.849
20,9,720,7255,97.079400,56.019
20,10,480,4173,96.866396,32.439
20,10,720,7053,96.652786,49.096
21,4,480,3094,97.521800,131.735
21,4,720,6196,97.682972,215.443
21,5,480,3234,97.542648,95.317
21,5,720,6485,97.700602,150.553
21,6,480,3425,97.488260,74.736
21,6,720,7156,97.603081,105.973
21,7,480,3471,97.429915,63.408
21,7,720,7458,97.496660,86.971
21,8,480,3642,97.432324,50.714
21,8,720,7285,97.342939,66.733
21,9,480,4025,97.067550,37.311
21,9,720,6927,96.986905,55.258
21,10,480,3974,96.768928,31.910
21,10,720,6761,96.556509,47.711
22,4,480,2934,97.445381,132.965
22,4,720,5870,97.615600,216.984
22,5,480,3060,97.469621,97.522
22,5,720,6145,97.635683,153.050
22,6,480,3252,97.416419,75.366
22,6,720,6777,97.533982,109.087
22,7,480,3297,97.352647,64.130
22,7,720,7049,97.421776,88.968
22,8,480,3469,97.360556,50.947
22,8,720,6919,97.258804,68.767
22,9,480,3866,96.985882,37.805
22,9,720,6598,96.867573,56.404
22,10,480,3818,96.681274,32.550
22,10,720,6427,96.416572,50.156
24,4,480,2677,97.277525,132.863
24,4,720,5381,97.463937,213.753
24,5,480,2767,97.300201,98.736
24,5,720,5587,97.485425,155.742
24,6,480,2962,97.247303,74.812
24,6,720,6171,97.384658,111.177
24,7,480,2996,97.183480,65.458
24,7,720,6383,97.262989,94.923
24,8,480,3146,97.188811,53.572
24,8,720,6276,97.087372,73.925
24,9,480,3539,96.790212,39.409
24,9,720,6023,96.651809,60.476
24,10,480,3513,96.475396,34.589
24,10,720,5877,96.157945,52.800
26,4,480,2297,96.973808,141.013
26,4,720,4621,97.185948,220.005
26,5,480,2370,96.982403,104.673
26,5,720,4792,97.206583,172.152
26,6,480,2525,96.935117,83.108
26,6,720,5250,97.094138,129.932
26,7,480,2557,96.870541,75.405
26,7,720,5406,96.957750,102.667
26,8,480,2695,96.864827,65.116
26,8,720,5365,96.750768,87.096
26,9,480,3025,96.423378,41.387
26,9,720,5290,96.284259,63.599
26,10,480,3021,96.085563,35.481
26,10,720,5187,95.759529,54.777
27,4,480,2148,96.819268,147.109
27,4,720,4320,97.040106,234.989
27,5,480,2217,96.829792,107.703
27,5,720,4485,97.062589,156.379
27,6,480,2363,96.778641,78.480
27,6,720,4910,96.946261,114.130
27,7,480,2395,96.714638,67.759
27,7,720,5049,96.808886,94.756
27,8,480,2524,96.709357,52.371
27,8,720,5040,96.595747,71.808
27,9,480,2848,96.252165,38.042
27,9,720,4941,96.075521,57.160
27,10,480,2857,95.916301,33.670
27,10,720,4864,95.542142,50.239
29,4,480,1901,96.503770,141.546
29,4,720,3823,96.742523,224.108
29,5,480,1960,96.504566,100.840
29,5,720,3962,96.760755,156.023
29,6,480,2082,96.458538,78.317
29,6,720,4319,96.643317,110.813
29,7,480,2115,96.388020,66.075
29,7,720,4438,96.497662,92.021
29,8,480,2226,96.378811,51.033
29,8,720,4465,96.277451,69.153
29,9,480,2523,95.846894,37.425
29,9,720,4354,95.644912,54.568
29,10,480,2542,95.498083,31.667
29,10,720,4301,95.050015,47.772
30,4,480,1796,96.348741,141.218
30,4,720,3605,96.584296,223.709
30,5,480,1851,96.335977,101.552
30,5,720,3737,96.596017,156.030
30,6,480,1952,96.277057,78.383
30,6,720,4041,96.468008,110.408
30,7,480,1984,96.204053,67.251
30,7,720,4152,96.316333,91.886
30,8,480,2090,96.182032,50.975
30,8,720,4197,96.084757,70.302
30,9,480,2355,95.641438,37.868
30,9,720,4087,95.398244,54.414
30,10,480,2374,95.273894,32.116
30,10,720,4040,94.760718,48.391
31,4,480,1666,96.115054,141.879
31,4,720,3331,96.348399,225.884
31,5,480,1714,96.094222,99.826
31,5,720,3450,96.355351,155.946
31,6,480,1805,96.041833,76.807
31,6,720,3728,96.234827,109.785
31,7,480,1836,95.966947,65.215
31,7,720,3829,96.075064,90.167
31,8,480,1935,95.944314,50.525
31,8,720,3890,95.841810,68.508
31,9,480,2149,95.337980,36.990
31,9,720,3728,95.030306,53.231
31,10,480,2169,94.943850,31.815
31,10,720,3698,94.376812,46.171
33,4,480,1456,95.631505,141.481
33,4,720,2885,95.864821,229.837
33,5,480,1493,95.581900,101.250
33,5,720,2978,95.841884,158.268
33,6,480,1557,95.510126,78.075
33,6,720,3193,95.715124,113.179
33,7,480,1586,95.421162,65.869
33,7,720,3281,95.534476,91.830
33,8,480,1681,95.393786,50.450
33,8,720,3379,95.313661,71.284
33,9,480,1869,94.735403,37.172
33,9,720,3213,94.339372,53.325
33,10,480,1896,94.353496,31.641
33,10,720,3211,93.658122,45.996
34,4,480,1372,95.405821,141.522
34,4,720,2705,95.634973,231.045
34,5,480,1406,95.344199,99.947
34,5,720,2789,95.600374,158.847
34,6,480,1461,95.266600,78.944
34,6,720,2983,95.466298,113.868
34,7,480,1489,95.169349,65.877
34,7,720,3064,95.272064,91.773
34,8,480,1578,95.134116,50.409
34,8,720,3167,95.051082,69.916
34,9,480,1765,94.467700,36.955
34,9,720,2989,93.953760,53.458
34,10,480,1796,94.094656,32.666
34,10,720,2990,93.277040,48.083
37,4,480,1131,94.558007,142.457
37,4,720,2190,94.749517,233.468
37,5,480,1157,94.456563,97.863
