crf,preset,res,bitrate,vmaf,time
18,4,480,3005,98.357937,144.534
18,4,720,5283,98.392580,243.880
18,5,480,3211,98.337878,99.376
18,5,720,5680,98.369009,140.871
18,6,480,3411,98.275045,71.251
18,6,720,6228,98.277864,102.750
18,7,480,3458,98.258464,62.273
18,7,720,6440,98.257439,87.047
18,8,480,3572,98.232283,49.723
18,8,720,6416,98.181416,69.788
18,9,480,4048,98.089536,40.936
18,9,720,6229,97.965100,58.800
18,10,480,4118,97.925529,35.187
18,10,720,6335,97.798128,52.173
50,4,480,484,89.259660,181.128
50,4,720,826,89.890643,314.004
50,5,480,497,88.766347,112.061
50,5,720,849,89.380291,189.192
50,6,480,492,88.065301,83.205
50,6,720,844,88.422812,129.816
50,7,480,502,87.633096,61.852
50,7,720,865,87.659815,93.407
50,8,480,518,87.312197,49.578
50,8,720,898,87.210398,70.793
50,9,480,549,85.522149,38.823
50,9,720,837,83.814658,55.384
50,10,480,565,85.009423,35.330
50,10,720,858,83.074396,49.726
23,4,480,2445,98.142792,140.780
23,4,720,4306,98.199369,253.442
23,5,480,2561,98.120188,115.476
23,5,720,4535,98.174588,166.845
23,6,480,2727,98.045797,86.166
23,6,720,4934,98.053012,120.806
23,7,480,2766,98.020003,70.594
23,7,720,5119,98.014535,99.861
23,8,480,2879,97.995720,56.836
23,8,720,5142,97.926919,76.284
23,9,480,3252,97.802173,46.694
23,9,720,5029,97.641689,60.423
23,10,480,3328,97.621365,39.409
23,10,720,5133,97.427355,52.134
28,4,480,1839,97.704994,164.474
28,4,720,3229,97.806075,248.831
28,5,480,1927,97.663846,106.697
28,5,720,3409,97.759347,164.297
28,6,480,2027,97.570713,94.559
28,6,720,3645,97.594834,115.525
28,7,480,2066,97.537317,66.926
28,7,720,3765,97.519270,107.560
28,8,480,2153,97.483436,52.686
28,8,720,3811,97.407322,72.608
28,9,480,2461,97.186894,44.007
28,9,720,3865,96.985907,74.432
28,10,480,2529,96.945986,37.010
28,10,720,3958,96.707021,53.814
35,4,480,1235,96.461017,168.561
35,4,720,2137,96.654670,270.115
35,5,480,1289,96.358337,112.013
35,5,720,2251,96.534753,178.371
35,6,480,1326,96.165421,87.648
35,6,720,2361,96.229137,139.268
35,7,480,1353,96.096552,75.433
35,7,720,2430,96.086406,107.343
35,8,480,1411,95.990746,62.018
35,8,720,2490,95.948517,78.251
35,9,480,1581,95.478309,40.334
35,9,720,2461,95.041323,56.336
35,10,480,1637,95.186691,34.476
35,10,720,2544,94.661180,50.387
38,4,480,1032,95.579098,148.566
38,4,720,1777,95.831256,250.499
38,5,480,1073,95.416489,96.521
38,5,720,1867,95.653940,153.035
38,6,480,1096,95.166438,83.666
38,6,720,1940,95.273506,126.316
38,7,480,1118,95.069031,71.463
38,7,720,1993,95.075877,97.097
38,8,480,1165,94.918877,48.973
38,8,720,2049,94.891035,70.961
38,9,480,1280,94.098414,41.341
38,9,720,2007,93.508697,55.558
38,10,480,1324,93.816730,41.934
38,10,720,2073,93.117951,61.878
42,4,480,803,94.029507,166.390
42,4,720,1371,94.369254,262.246
42,5,480,836,93.776477,95.704
42,5,720,1437,94.091441,155.132
42,6,480,844,93.431378,73.758
42,6,720,1468,93.600115,112.825
42,7,480,863,93.248171,59.513
42,7,720,1520,93.269037,85.403
42,8,480,889,93.137058,47.604
42,8,720,1568,93.096181,65.513
42,9,480,972,91.892261,37.340
42,9,720,1513,91.009736,51.075
42,10,480,1008,91.562254,32.718
42,10,720,1564,90.553405,45.663
25,4,480,2185,97.992623,136.466
25,4,720,3847,98.072962,215.022
25,5,480,2289,97.969830,94.901
25,5,720,4056,98.039039,146.438
25,6,480,2433,97.877950,72.408
25,6,720,4396,97.904824,107.530
25,7,480,2471,97.851565,61.704
25,7,720,4553,97.847239,87.373
25,8,480,2572,97.824779,49.028
25,8,720,4586,97.751104,68.863
25,9,480,2928,97.585258,39.702
25,9,720,4572,97.442365,56.713
25,10,480,3008,97.389752,34.962
25,10,720,4676,97.209175,51.130
32,4,480,1468,97.107885,146.958
32,4,720,2561,97.244737,234.225
32,5,480,1534,97.030586,96.697
32,5,720,2697,97.164686,151.139
32,6,480,1598,96.888116,76.111
32,6,720,2855,96.940175,109.144
32,7,480,1629,96.833243,63.865
32,7,720,2945,96.823143,90.031
32,8,480,1699,96.765293,50.020
32,8,720,3004,96.698078,71.078
32,9,480,1892,96.345484,40.251
32,9,720,2988,96.041521,56.839
32,10,480,1955,96.065257,35.710
32,10,720,3077,95.699867,51.992
36,4,480,1161,96.194598,145.128
36,4,720,2004,96.397512,243.403
36,5,480,1210,96.066505,95.810
36,5,720,2110,96.263744,152.296
36,6,480,1243,95.851495,75.899
36,6,720,2207,95.936310,110.045
36,7,480,1268,95.777493,64.009
36,7,720,2271,95.767087,90.618
36,8,480,1322,95.652008,49.728
36,8,720,2330,95.613354,70.850
36,9,480,1461,94.958815,40.064
36,9,720,2302,94.617756,56.931
36,10,480,1511,94.688679,36.390
36,10,720,2381,94.223104,50.891
40,4,480,910,94.902093,157.876
40,4,720,1555,95.204720,266.836
40,5,480,948,94.695076,98.249
40,5,720,1639,94.969710,160.955
40,6,480,963,94.389487,78.666
40,6,720,1685,94.544211,117.006
40,7,480,985,94.258824,63.331
40,7,720,1749,94.261031,91.235
40,8,480,1014,94.157974,51.209
40,8,720,1797,94.110375,71.884
40,9,480,1128,93.093768,40.431
40,9,720,1746,92.357654,57.330
40,10,480,1169,92.782923,36.318
40,10,720,1805,91.939993,51.416
19,4,480,2862,98.317040,140.034
19,4,720,5028,98.355512,222.934
19,5,480,3042,98.298553,95.962
19,5,720,5362,98.331948,148.654
19,6,480,3232,98.240376,75.671
19,6,720,5874,98.244114,110.149
19,7,480,3285,98.220557,64.690
19,7,720,6127,98.215335,91.583
19,8,480,3407,98.203277,51.649
19,8,720,6126,98.144674,72.309
19,9,480,3883,98.040976,42.448
19,9,720,5966,97.902401,60.557
19,10,480,3964,97.868966,37.606
19,10,720,6075,97.728537,53.930
20,4,480,2737,98.270946,139.395
20,4,720,4811,98.316278,214.927
20,5,480,2908,98.249421,95.121
20,5,720,5126,98.293530,149.360
20,6,480,3070,98.189256,74.657
20,6,720,5577,98.193774,108.098
20,7,480,3123,98.167013,62.226
20,7,720,5812,98.160501,89.455
20,8,480,3244,98.147147,50.318
20,8,720,5821,98.088060,70.754
20,9,480,3693,97.976151,40.695
20,9,720,5700,97.830970,58.965
20,10,480,3775,97.811218,35.889
20,10,720,5808,97.648277,52.601
21,4,480,2631,98.233383,139.506
21,4,720,4622,98.283755,220.722
21,5,480,2794,98.213827,95.486
21,5,720,4928,98.259784,158.353
21,6,480,2950,98.139247,75.693
21,6,720,5357,98.148065,112.849
21,7,480,3000,98.115855,65.311
21,7,720,5581,98.113469,91.813
21,8,480,3118,98.091944,48.205
21,8,720,5599,98.035466,69.916
21,9,480,3545,97.910791,40.066
21,9,720,5461,97.765490,59.357
21,10,480,3626,97.744562,35.804
21,10,720,5576,97.584543,48.044
22,4,480,2510,98.192207,157.019
22,4,720,4410,98.242533,281.161
22,5,480,2659,98.168203,108.794
22,5,720,4695,98.216912,182.838
22,6,480,2815,98.089265,85.223
22,6,720,5105,98.097131,113.910
22,7,480,2865,98.061785,71.677
22,7,720,5312,98.058281,100.144
22,8,480,2985,98.038957,58.648
22,8,720,5340,97.976790,87.354
22,9,480,3396,97.857581,51.608
22,9,720,5231,97.689720,72.994
22,10,480,3470,97.674823,40.169
22,10,720,5336,97.491364,57.145
24,4,480,2337,98.085415,169.202
24,4,720,4115,98.151082,243.911
24,5,480,2448,98.061519,109.587
24,5,720,4336,98.125502,171.283
24,6,480,2602,97.986133,84.071
24,6,720,4706,98.004717,117.427
24,7,480,2641,97.959543,66.843
24,7,720,4879,97.957107,95.894
24,8,480,2748,97.936910,53.188
24,8,720,4906,97.871589,74.241
24,9,480,3141,97.725481,43.627
24,9,720,4833,97.548345,60.885
24,10,480,3216,97.535406,37.377
24,10,720,4930,97.333608,54.743
26,4,480,2057,97.899590,143.245
26,4,720,3619,97.988349,224.175
26,5,480,2154,97.866708,99.514
26,5,720,3814,97.950864,152.151
26,6,480,2265,97.781202,79.335
26,6,720,4086,97.803581,113.820
26,7,480,2302,97.747795,67.138
26,7,720,4222,97.741011,94.654
26,8,480,2401,97.711949,54.446
26,8,720,4262,97.638557,76.200
26,9,480,2738,97.447111,43.287
26,9,720,4344,97.322244,60.362
26,10,480,2809,97.248342,38.250
26,10,720,4440,97.070702,53.695
27,4,480,1946,97.798626,146.967
27,4,720,3417,97.900224,237.367
27,5,480,2038,97.767441,111.271
27,5,720,3607,97.857599,168.261
27,6,480,2138,97.673131,87.386
27,6,720,3854,97.684795,123.847
27,7,480,2177,97.640316,73.356
27,7,720,3981,97.620578,98.553
27,8,480,2269,97.594035,56.337
27,8,720,4023,97.514796,76.243
27,9,480,2596,97.331460,43.114
27,9,720,4089,97.149380,60.917
27,10,480,2670,97.109917,37.910
27,10,720,4188,96.894752,54.291
29,4,480,1749,97.598557,159.844
29,4,720,3068,97.706748,253.595
29,5,480,1831,97.548468,108.301
29,5,720,3238,97.656626,166.069
29,6,480,1923,97.455970,82.613
29,6,720,3455,97.480727,118.870
29,7,480,1959,97.415208,69.398
29,7,720,3566,97.397578,97.389
29,8,480,2041,97.367787,54.976
29,8,720,3617,97.281013,76.586
29,9,480,2328,96.987538,43.823
29,9,720,3657,96.820863,61.716
29,10,480,2398,96.762820,38.824
29,10,720,3750,96.533430,55.387
30,4,480,1668,97.490227,158.224
30,4,720,2919,97.603245,250.076
30,5,480,1745,97.434720,104.577
30,5,720,3081,97.546260,162.071
30,6,480,1821,97.314203,81.825
30,6,720,3269,97.346913,116.920
30,7,480,1856,97.268957,68.913
30,7,720,3371,97.253012,96.872
30,8,480,1935,97.212488,53.360
30,8,720,3427,97.133853,75.705
30,9,480,2189,96.830257,42.836
30,9,720,3460,96.611329,60.632
30,10,480,2254,96.592428,38.250
30,10,720,3550,96.313383,55.038
31,4,480,1562,97.314582,158.719
31,4,720,2728,97.432052,249.948
31,5,480,1635,97.249949,104.169
31,5,720,2879,97.368568,162.504
31,6,480,1703,97.113372,80.475
31,6,720,3054,97.149680,117.694
31,7,480,1736,97.068780,69.092
31,7,720,3147,97.049756,96.582
31,8,480,1810,97.006152,54.810
31,8,720,3203,96.925149,76.559
31,9,480,2021,96.602310,43.585
31,9,720,3198,96.334673,61.562
31,10,480,2082,96.327946,38.692
31,10,720,3285,96.013062,54.419
33,4,480,1388,96.913074,149.278
33,4,720,2413,97.073370,234.152
33,5,480,1450,96.829674,96.274
33,5,720,2543,96.984434,152.823
33,6,480,1500,96.661177,76.433
33,6,720,2679,96.721614,109.960
33,7,480,1530,96.607170,63.631
33,7,720,2761,96.591346,90.835
33,8,480,1598,96.523474,50.490
33,8,720,2823,96.465935,71.186
33,9,480,1788,96.077194,40.341
33,9,720,2811,95.727847,56.394
33,10,480,1850,95.801338,36.975
33,10,720,2899,95.379104,52.919
34,4,480,1315,96.718683,148.288
34,4,720,2281,96.891089,241.519
34,5,480,1373,96.620358,100.687
34,5,720,2402,96.788729,155.855
34,6,480,1417,96.455270,79.558
34,6,720,2528,96.519441,115.645
