crf,preset,res,bitrate,vmaf,time
18,4,480,3686,96.287776,154.959
18,4,720,7927,96.156408,236.626
18,5,480,3840,96.305091,126.374
18,5,720,8213,96.190377,174.094
18,6,480,3953,96.261097,98.909
18,6,720,8866,96.141646,131.268
18,7,480,3953,96.068955,89.677
18,7,720,9698,96.009537,116.864
18,8,480,4060,96.059679,82.923
18,8,720,8229,95.612291,100.887
18,9,480,4398,95.794243,74.779
18,9,720,8032,95.372001,88.145
18,10,480,3869,95.485578,72.022
18,10,720,7117,94.895638,83.352
50,4,480,461,91.244235,212.472
50,4,720,979,90.625933,317.935
50,5,480,466,91.190315,137.989
50,5,720,995,90.533270,210.412
50,6,480,410,90.379712,101.831
50,6,720,880,89.660099,150.278
50,7,480,416,89.919269,85.955
50,7,720,896,89.034263,117.867
50,8,480,485,89.937176,79.195
50,8,720,1028,88.751925,96.718
50,9,480,421,87.966313,73.236
50,9,720,697,85.280628,84.135
50,10,480,422,87.786559,70.685
50,10,720,689,84.765020,80.012
23,4,480,2766,95.906108,140.906
23,4,720,5855,95.687862,215.460
23,5,480,2836,95.908401,113.647
23,5,720,6018,95.712699,167.579
23,6,480,2864,95.838016,99.249
23,6,720,6362,95.649377,128.198
23,7,480,2890,95.683688,86.675
23,7,720,6936,95.448826,110.903
23,8,480,3033,95.686468,78.895
23,8,720,6175,95.074055,94.591
23,9,480,3312,95.306509,71.346
23,9,720,6004,94.757043,83.151
23,10,480,2996,95.015727,69.278
23,10,720,5408,94.241443,78.659
28,4,480,1947,95.376231,147.015
28,4,720,4063,95.032994,228.538
28,5,480,1963,95.326002,113.872
28,5,720,4100,95.002498,172.168
28,6,480,1912,95.177988,96.229
28,6,720,4201,94.881914,130.613
28,7,480,1937,95.033244,85.053
28,7,720,4479,94.610467,111.172
28,8,480,2069,95.035710,77.803
28,8,720,4297,94.254860,93.897
28,9,480,2269,94.511309,70.012
28,9,720,4228,93.877113,81.312
28,10,480,2110,94.253596,67.924
28,10,720,3880,93.337976,77.509
35,4,480,1215,94.485583,157.500
35,4,720,2550,94.006865,241.095
35,5,480,1201,94.380316,114.532
35,5,720,2527,93.898596,177.029
35,6,480,1110,94.061097,96.657
35,6,720,2435,93.603612,137.856
35,7,480,1125,93.864735,85.061
35,7,720,2528,93.218845,115.319
35,8,480,1250,93.867148,77.135
35,8,720,2658,92.911727,96.650
35,9,480,1312,93.081060,70.306
35,9,720,2397,91.974101,81.874
35,10,480,1269,92.840891,68.201
35,10,720,2285,91.486775,78.472
38,4,480,1001,94.003276,159.764
38,4,720,2110,93.495184,246.889
38,5,480,985,93.886410,114.818
38,5,720,2093,93.367127,176.642
38,6,480,898,93.481276,95.756
38,6,720,1969,92.972078,137.270
38,7,480,910,93.226116,84.220
38,7,720,2029,92.529232,115.951
38,8,480,1032,93.248158,76.632
38,8,720,2194,92.246521,96.803
38,9,480,1039,92.271531,70.394
38,9,720,1870,90.958353,82.568
38,10,480,1017,92.069791,68.441
38,10,720,1805,90.516161,79.248
42,4,480,768,93.248432,175.247
42,4,720,1630,92.711078,270.715
42,5,480,763,93.145136,120.656
42,5,720,1627,92.577503,185.877
42,6,480,682,92.601773,96.810
42,6,720,1487,92.028060,142.154
42,7,480,693,92.288727,83.682
42,7,720,1533,91.523943,117.204
42,8,480,803,92.357068,77.647
42,8,720,1711,91.311821,98.599
42,9,480,774,91.132274,70.865
42,9,720,1347,89.371211,83.137
42,10,480,769,90.978786,68.802
42,10,720,1329,88.952116,79.420
25,4,480,2396,95.702076,142.505
25,4,720,5021,95.423695,224.611
25,5,480,2443,95.686383,114.457
25,5,720,5137,95.436201,175.193
25,6,480,2430,95.583809,98.303
25,6,720,5381,95.357845,132.630
25,7,480,2456,95.443330,86.669
25,7,720,5821,95.120801,116.260
25,8,480,2590,95.442490,98.936
25,8,720,5336,94.759405,121.114
