crf,preset,res,bitrate,vmaf,time
18,4,480,17319,99.691168,14.867
18,4,720,42055,99.687317,27.058
18,5,480,18537,99.684961,9.012
18,5,720,44247,99.686902,14.860
18,6,480,21059,99.710613,7.438
18,6,720,51811,99.723178,11.710
18,7,480,21103,99.700033,7.384
18,7,720,53225,99.681452,10.246
18,8,480,22500,99.710826,6.274
18,8,720,53229,99.667963,8.481
18,9,480,24868,99.630917,4.169
18,9,720,50370,99.602178,6.550
18,10,480,23499,99.377238,3.617
18,10,720,48949,99.448228,5.721
50,4,480,1682,85.886215,21.794
50,4,720,3462,85.396675,36.616
50,5,480,1687,85.444468,10.938
50,5,720,3497,84.739218,17.829
50,6,480,1765,85.319563,8.051
50,6,720,3791,84.488014,12.550
50,7,480,1790,84.915666,6.477
50,7,720,3877,83.140588,9.346
50,8,480,1918,84.995401,6.333
50,8,720,4153,83.131792,7.809
50,9,480,2075,82.121858,3.832
50,9,720,3685,78.917262,5.498
50,10,480,2096,80.889906,3.444
50,10,720,3743,77.779744,4.691
23,4,480,13280,99.589188,14.965
23,4,720,31990,99.585850,22.286
23,5,480,13736,99.585832,10.425
23,5,720,33010,99.591136,15.889
23,6,480,15918,99.612590,8.092
23,6,720,39618,99.639210,11.732
23,7,480,15998,99.608669,7.671
23,7,720,40415,99.562523,10.126
23,8,480,17127,99.618837,6.321
23,8,720,40933,99.541168,8.636
23,9,480,19370,99.466625,3.996
23,9,720,38999,99.463049,6.296
23,10,480,18524,99.010891,3.573
23,10,720,38207,99.245140,5.271
28,4,480,8828,99.160423,16.232
28,4,720,21334,99.355552,22.508
28,5,480,9035,99.129821,11.904
28,5,720,21810,99.356482,16.789
28,6,480,10817,99.273983,7.555
28,6,720,26876,99.427699,10.803
28,7,480,10958,99.228042,6.968
28,7,720,27284,99.214773,9.762
28,8,480,11666,99.244625,5.956
28,8,720,27995,99.217735,7.988
28,9,480,13701,98.832494,3.748
28,9,720,27716,99.083611,5.899
28,10,480,13484,98.133355,3.110
28,10,720,27896,98.596552,4.972
35,4,480,5050,96.971625,15.648
35,4,720,11823,97.620581,22.237
35,5,480,5065,96.781392,10.695
35,5,720,11962,97.550015,15.199
35,6,480,6191,97.581922,8.004
35,6,720,14811,97.942104,10.692
35,7,480,6318,97.439346,6.694
35,7,720,15031,97.225690,8.911
35,8,480,6691,97.354590,5.726
