crf,preset,res,bitrate,vmaf,time
18,4,480,390,97.300576,66.917
18,4,720,633,97.293299,97.662
18,5,480,402,97.224598,49.046
18,5,720,651,97.196580,78.285
18,6,480,436,97.252260,44.193
18,6,720,736,97.135519,61.801
18,7,480,450,97.121086,41.660
18,7,720,804,96.854073,54.344
18,8,480,480,97.115232,38.322
18,8,720,803,96.509243,48.309
18,9,480,505,96.673690,34.528
18,9,720,799,95.609750,41.746
18,10,480,496,96.094200,32.630
18,10,720,775,94.976346,40.248
50,4,480,74,87.447879,75.213
50,4,720,113,87.575253,110.432
50,5,480,74,87.020414,57.013
50,5,720,112,87.138157,84.015
50,6,480,72,86.181623,48.277
50,6,720,111,86.406240,68.316
50,7,480,73,85.549526,42.154
50,7,720,112,85.085011,58.559
50,8,480,80,85.409798,37.956
50,8,720,122,84.618871,49.389
50,9,480,76,83.072930,34.160
50,9,720,103,79.795807,43.103
50,10,480,77,82.601945,32.819
50,10,720,101,78.504271,41.213
23,4,480,307,96.829896,65.682
23,4,720,488,96.819697,105.158
23,5,480,315,96.713537,52.158
23,5,720,503,96.692874,79.506
23,6,480,337,96.745191,48.995
23,6,720,553,96.634431,65.828
23,7,480,346,96.606425,44.724
23,7,720,603,96.253412,57.523
23,8,480,372,96.588117,42.021
23,8,720,615,95.874792,52.082
23,9,480,393,96.022688,36.848
23,9,720,612,94.778080,44.521
23,10,480,392,95.429300,34.920
23,10,720,593,93.983325,42.661
28,4,480,231,96.003622,68.610
28,4,720,359,95.987593,106.304
28,5,480,235,95.811213,52.277
28,5,720,368,95.786404,79.892
28,6,480,247,95.828624,47.251
28,6,720,397,95.715124,66.293
28,7,480,256,95.649217,44.596
28,7,720,427,95.203209,58.269
28,8,480,275,95.636689,41.103
28,8,720,446,94.834189,51.487
28,9,480,290,94.871656,36.605
28,9,720,446,93.403935,44.928
28,10,480,291,94.269402,35.227
28,10,720,434,92.483011,42.848
35,4,480,158,94.248475,70.825
35,4,720,242,94.184080,106.403
35,5,480,160,93.901669,52.465
35,5,720,245,93.890213,78.894
35,6,480,163,93.798611,47.826
35,6,720,256,93.756805,66.984
35,7,480,168,93.580637,44.874
35,7,720,269,93.059373,58.930
35,8,480,182,93.542550,41.329
35,8,720,288,92.661335,52.020
35,9,480,187,92.438429,37.336
35,9,720,273,90.396746,44.912
35,10,480,189,91.838818,36.206
35,10,720,266,89.353084,43.690
38,4,480,136,93.229265,69.995
38,4,720,208,93.216320,106.999
38,5,480,136,92.817235,52.363
38,5,720,209,92.826013,80.076
38,6,480,137,92.625461,47.320
38,6,720,215,92.586517,67.026
38,7,480,141,92.353382,44.369
38,7,720,224,91.826976,58.941
38,8,480,153,92.316954,41.573
38,8,720,241,91.391186,52.036
38,9,480,154,90.883138,36.917
38,9,720,221,88.599636,45.008
